OID|ACCT_TYPE|NAME|PAST_DUE_90|PAST_DUE_180|LIQUIDATED|TOTAL|RPT_ID
48369|101|None|0|0|0|0|463535
48370|102|All Other Accounts|0|0|0|0|463535
26142|101|NONE|0|0|0|0|364870
26143|102|All Other Accounts|0|0|0|0|364870
40|102|All Other Accounts|0|0|0|0|229197
58|102|All Other Accounts|0|0|0|0|238611
71|102|All Other Accounts|0|0|0|0|241927
2263|101|National Office|0|0|0|51455|268922
2264|102|All Other Accounts|0|0|0|0|268922
27787|101||0|0|0|0|371689
27788|102|All Other Accounts|0|0|0|0|371689
48398|102|All Other Accounts|0|0|0|0|463674
48397|101|Eastern 4904|0|0|0|7737|463674
48396|101|UCWU 4795|0|0|0|5791|463674
48395|101|Sno Isle 4087|0|0|0|493|463674
48394|101|Clover Park 3913|0|0|0|2351|463674
48393|101|Clover Park 4789|0|0|0|1085|463674
48392|101|Pierce 4821|0|0|0|4556|463674
48391|101|Renton 3924|0|0|0|2401|463674
48390|101|Lake Washington Classified 4787|0|0|0|1014|463674
14|101|National Mail Handlers Union|0|0|0|36581|227102
15|102|All Other Accounts|0|0|0|0|227102
2284|101|ALASKA OCEAN|300|0|0|300|269252
2294|102|All Other Accounts|0|0|0|0|269252
2293|101|WESTWARD SEAFOODS|300|0|0|300|269252
2292|101|WEST CONSTRUCTION|0|0|0|300|269252
2291|101|PRIEST ROCK MARITIME SVC|0|0|0|285|269252
2290|101|NORTH STAR STEVEDORE|0|0|0|179|269252
2289|101|ILWU AK LONGSHORE DIV|1008|0|0|3015|269252
2288|101|HORIZON LINES|0|0|0|1369|269252
2287|101|GRAND ALEUTIAN HOTEL|300|0|0|300|269252
2286|101|DUTCH HARBOR CHIROPRACTIC|300|0|0|300|269252
2285|101|AMERICAN PRESIDENT|0|0|0|365|269252
7131|102|All Other Accounts|0|0|0|145478|298950
48377|101|OHIO CONFERENCE OF PLASTERERS & CEMENT MASONS|0|0|0|757|463578
48378|102|All Other Accounts|0|0|0|0|463578
2179|102|All Other Accounts|0|0|0|0|267876
48348|101|MEMBER DUES FROM LOCALS|50086|0|0|50086|463351
48349|102|All Other Accounts|0|0|0|0|463351
6|101|NONE|0|0|0|0|224377
7|102|All Other Accounts|0|0|0|0|224377
32|102|All Other Accounts|0|0|0|0|228896
33|102|All Other Accounts|0|0|0|5135|229016
45|102|All Other Accounts|0|0|0|0|229933
56|102|All Other Accounts|0|0|0|0|234362
20|102|All Other Accounts|0|0|0|0|227926
49|102|All Other Accounts|0|0|0|0|232727
48407|101|Communication Workers of America|0|0|0|14156|463702
48408|102|All Other Accounts|0|0|0|0|463702
43|102|All Other Accounts|0|0|0|0|229200
1107|102|All Other Accounts|0|0|0|0|249870
10|102|All Other Accounts|0|0|0|0|226359
25149|102|All Other Accounts|0|0|0|0|356781
1889|101|None over $5000 individually or in aggregate and|0|0|0|0|262029
1891|102|All Other Accounts|0|0|0|37692|262029
1890|101|none over 90 days past due.  All a/r is current.|0|0|0|0|262029
48452|101|N/A|0|0|0|12481|464072
48453|102|All Other Accounts|0|0|0|0|464072
48435|101|GENERAL ACCOUNTS RECEIVABLE|0|0|0|96492|464057
48436|102|All Other Accounts|0|0|0|0|464057
59|101|Working dues receivable|0|0|0|90502|240415
61|102|All Other Accounts|0|0|0|0|240415
60|101|Member dues receivable|0|0|0|199538|240415
3952|102|All Other Accounts|0|0|0|149|272891
23|101|VARIOUS MEMBERS|0|0|0|8102|228746
24|102|All Other Accounts|0|0|0|0|228746
62|102|All Other Accounts|0|0|0|0|241304
21|102|All Other Accounts|0|0|0|667|228680
48409|101|WV WORKERS COMPENSATION DEPOSIT ON ACCOUNT|0|0|0|236|463709
48410|102|All Other Accounts|0|0|0|0|463709
41|101|WORKING ASSESSMENTS AND MEMBER ASSESSMENTS|0|0|0|27009|229199
42|102|All Other Accounts|0|0|0|0|229199
8|102|All Other Accounts|0|0|0|0|225864
47|102|All Other Accounts|0|0|0|5759|230586
9|102|All Other Accounts|0|0|0|0|226358
34|101||0|0|0|0|229081
35|102|All Other Accounts|0|0|0|0|229081
36|102|All Other Accounts|0|0|0|0|229116
44|102|All Other Accounts|0|0|0|0|229614
1979|101|ALL ACCOUNTS|0|0|0|15200|263570
1980|102|All Other Accounts|0|0|0|0|263570
48|102|All Other Accounts|0|0|0|0|232348
2118|101|CENTRO CARDIOVASCULAR|0|0|0|11052|267505
2124|101|LORD ELECTRIC|0|0|0|6164|267505
2137|102|All Other Accounts|0|0|0|37873|267505
2136|101|SEIU|0|0|0|45675|267505
2135|101|INTERFUNDS|0|0|0|1025607|267505
2134|101|UDH- PEDIATRICO|0|0|0|17450|267505
2133|101|SALUD CORRECCIONAL|0|0|0|8751|267505
2132|101|INST DE CULTURA|0|0|0|6632|267505
2131|101|EMERGENCIAS MEDICAS|0|0|0|34536|267505
2130|101|DEPT  HACIENDA|0|0|0|6503|267505
2129|101|DEPT SALUD|0|0|0|152257|267505
2128|101|ASSMCA|0|0|0|51263|267505
2127|101|ADM DERECHO AL TRABAJO|0|0|0|22447|267505
2126|101|ADM SISTEMA DE RETIRO|0|0|0|6572|267505
2125|101|TRIPLE S|0|0|0|5611|267505
2123|101|LIGA DE PR CONTRA EL CANCER|0|0|0|10040|267505
2122|101|HOSP DEL MAESTRO|0|0|0|10763|267505
2121|101|HIMA|0|0|0|8535|267505
2120|101|FRESENIUS|0|0|0|5069|267505
2119|101|ASEM|22759|0|0|89554|267505
57|102|All Other Accounts|0|0|0|0|236434
39|102|All Other Accounts|0|0|0|0|229173
1937|101|RECEIVABLE FROM OTHER FUNDS|0|0|0|2490|262635
1938|102|All Other Accounts|0|0|0|0|262635
16|101|None|0|0|0|0|227525
17|102|All Other Accounts|0|0|0|0|227525
48381|101|Crash Investigation|0|728|0|728|463645
48384|102|All Other Accounts|0|0|0|0|463645
48383|101|Local 34|0|2138|0|2138|463645
48382|101|AMFA National|254|0|0|254|463645
2305|101||0|0|0|257|269291
2306|102|All Other Accounts|0|0|0|0|269291
48341|101|Dues Receivable|0|0|0|306873|463276
48342|102|All Other Accounts|0|0|0|0|463276
26|101|LABORERS LOCAL #366|0|0|0|18527|228895
31|102|All Other Accounts|0|0|0|43078|228895
30|101|PIPELINE CONSTRUCTION LOCAL #692|0|0|0|6420|228895
29|101|LABORERS LOCAL #818|0|0|0|11024|228895
28|101|LABORERS LOCAL #767|0|0|0|9478|228895
27|101|LABORERS LOCAL #559|0|0|0|12731|228895
48386|102|All Other Accounts|1288|437|0|28985|463647
37|101|AFSCME Local 552|135|115|0|7869|229128
38|102|All Other Accounts|26835|2006|0|191688|229128
28492|101|UNITED ASSOCIATION|0|0|0|17830|373063
28493|102|All Other Accounts|0|0|0|4530|373063
48388|102|All Other Accounts|2420|12678|2191|15098|463667
5412|101|ADVERTISEMENT REFUND|0|0|0|400|277776
5415|102|All Other Accounts|0|0|0|0|277776
5414|101|ANNUAL RETIREMENT DUES|0|0|0|400|277776
5413|101|TAUP ANNUAL DUES|0|0|0|78|277776
