OID|ACCT_TYPE|NAME|PAST_DUE_90|PAST_DUE_180|LIQUIDATED|TOTAL|RPT_ID
9488|102|All Other Accounts|0|0|0|45822|308809
17052|102|All Other Accounts|0|0|0|1335|315081
6455|102|All Other Accounts|0|0|0|97370|297076
7595|101|Dues|0|0|0|58782|299301
7596|102|All Other Accounts|0|0|0|0|299301
8399|101|HOWARD BUSKIRK|0|0|0|713|302266
8400|102|All Other Accounts|0|0|0|0|302266
17435|101||0|0|0|0|317610
17436|102|All Other Accounts|0|0|0|0|317610
10714|102|All Other Accounts|0|0|0|109715|312878
11296|101|UNITE HERE - Local 1820|0|0|1714|0|313475
11287|101|UNTE HERE National Retirement Fund|0|0|0|13942|313475
11299|102|All Other Accounts|418|386|0|25701|313475
11298|101|UNITE HERE - Local 2685|0|0|134|0|313475
11297|101|UNITE HERE - Local 99H|0|0|2113|0|313475
11295|101|UNITE HERE - Local 1422|0|0|36503|0|313475
11294|101|UNITE HERE - Local 981|0|0|28421|0|313475
11293|101|UNITE HERE - Local 295C|0|0|6206|0|313475
11292|101|UNITE HERE - Local 1902|3513|1557|0|7551|313475
11291|101|UNITE HERE - Local 1812|1612|4751|0|7402|313475
11290|101|UNITE HERE - Local 224T|3778|0|0|5202|313475
11289|101|UNITE HERE - NY|5258|9340|0|22046|313475
11288|101|Amalgamated Life & Health Insurance Company|0|0|0|24028|313475
25245|101|SPD TECH L3|0|0|0|4463|358438
25230|101|AMERICAN HONDA|2237|0|0|7009|358438
25244|101|HOLMAN FORD|0|0|0|1794|358438
25243|101|BRISTOL ALUMINUM|0|0|0|615|358438
25242|101|SPALDING|0|0|0|1132|358438
25241|101|FREEDOM INTERNATIONAL|0|0|0|1398|358438
25240|101|FBF|0|0|0|1016|358438
25239|101|WWD|0|0|0|554|358438
25238|101|RMP|0|0|0|471|358438
25237|101|BRIDON AMERICAN|0|0|0|6437|358438
25236|101|BORO OF BRISTOL|0|0|0|710|358438
25235|101|ASHLAND CHEMICAL|0|0|0|1936|358438
25234|101|HUXLEY ENVELOPES|0|0|0|4914|358438
25233|101|MET PRO|0|0|0|1155|358438
25232|101|CPV|0|0|0|420|358438
25231|101|LOWER BUCKS|0|0|0|2743|358438
25254|102|All Other Accounts|0|0|0|0|358438
25253|101|INT'L UNION CAP REIMBURSEMENT P. ASHTON - DECEMBER|0|0|0|6459|358438
25252|101|INT'L UNION REBATE PER CAPITA NOVEMBER|0|0|0|5960|358438
25251|101|INT'L UNION REBATE PER CAPITA OCTOBER|0|0|0|4757|358438
25250|101|INT'L UNION CAP REIMBURSEMENT P. ASHTON - NOVEMBER|0|0|0|6459|358438
25249|101|TOWNSHIP OF MEDFORD|0|0|0|726|358438
25248|101|WARMINSTER FIBERGLASS|0|0|0|273|358438
25247|101|BORO OF TAMAQUA|0|0|0|416|358438
25246|101|SPD SWITCHGEAR L3|0|0|0|899|358438
16959|102|All Other Accounts|0|0|0|0|314839
16958|101|None|0|0|0|0|314839
8587|101|None|0|0|0|0|302810
8588|102|All Other Accounts|0|0|0|0|302810
16987|102|All Other Accounts|41839|0|0|290336|314868
8745|102|All Other Accounts|0|0|0|73929|303350
8923|101|CWA National|0|0|0|6154|303700
8924|102|All Other Accounts|0|0|0|0|303700
8737|102|All Other Accounts|0|0|0|0|303289
9222|101|L&S SERVICES, LLC|0|0|0|16470|306693
9225|102|All Other Accounts|0|0|0|0|306693
9224|101|CATHY HAWKINS|0|0|0|31|306693
9223|101|MARSHALL RACE|0|0|0|31|306693
11353|101|TRI-COUNTIES TRUSTS|0|0|0|72713|313535
11356|102|All Other Accounts|0|0|0|0|313535
11355|101|IBEW APPRENTICE AND TRAINING TRUST|0|0|0|593|313535
11354|101|IBEW BUILDING CORP.|0|0|0|750|313535
7717|102|All Other Accounts|0|0|0|6702|299529
7088|101|NONE|0|0|0|0|298874
7089|102|All Other Accounts|129|130|4967|5156|298874
6353|102|All Other Accounts|0|0|0|62462|295030
8720|101|Network Infrastructure|0|0|0|1154|303213
8708|101|Artisan|0|0|0|621|303213
8719|101|NEC|0|0|0|10552|303213
8718|101|Market Communications|0|0|0|1198|303213
8717|101|Llewellyn|0|0|0|223|303213
8716|101|Int'l Cabling|0|0|0|323|303213
8715|101|E I A Datacom|0|0|0|1158|303213
8714|101|Communix Metro|0|0|0|173|303213
8713|101|Cableworx|0|0|0|6474|303213
8712|101|Cable Plus|0|0|0|360|303213
8711|101|C R Communications|0|0|0|593|303213
8710|101|Black Box Network|0|0|0|424|303213
8709|101|BSC|0|0|0|460|303213
8732|102|All Other Accounts|0|0|0|0|303213
8731|101|Nextira|0|0|0|11876|303213
8730|101|Verizon|0|0|0|119460|303213
8729|101|Telenet|0|0|0|884|303213
8728|101|Technical Tele SYs|0|0|0|6216|303213
8727|101|T C P Business Systems & Sundry|0|0|0|7751|303213
8726|101|S T I Dedicated|0|0|0|2052|303213
8725|101|S G A Cable|0|0|0|756|303213
8724|101|Reliable Interconnect|0|0|0|472|303213
8723|101|P M Savvy Systems|0|0|0|1443|303213
