OID|ACCT_TYPE|NAME|TOTAL|PAST_DUE_90|PAST_DUE_180|LIQUIDATED|RPT_ID
126072|102|All Other Accounts|2355139|6276|100|0|710063
124713|102|All Other Accounts|19352||||699473
127354|102|All Other Accounts|0|0|0|0|713882
121651|102|All Other Accounts|||||690906
120356|102|All Other Accounts|||||683592
119893|101|INTERNATIONAL PER CAPITA TAX (NOT AUDITED)|13400||||682720
119895|102|All Other Accounts|||||682720
119894|101|REG COUNCIL PER CAPITA (NOT AUDITED)|235||||682720
119749|102|All Other Accounts|||||681973
123965|102|All Other Accounts|176029|0|0|0|698397
119745|101|NONE ITEMIZED|0|0|0|0|681925
119746|102|All Other Accounts|0|0|0|0|681925
119928|101|Payroll Liabilites|14024||||682799
119931|102|All Other Accounts|||||682799
119930|101|US Bancard|15356||||682799
119929|101|International Union|29999||||682799
120383|101|None|0|0|0|0|683647
120384|102|All Other Accounts|||||683647
122751|102|All Other Accounts|365076||||695510
123297|102|All Other Accounts|||||696829
124210|101|NONE|0|0|0|0|698764
124211|102|All Other Accounts|0|0|0|0|698764
122499|102|All Other Accounts|928|0|0|0|694642
123392|102|All Other Accounts|54683||||696992
123468|101|Per Capita|39579|0|0|39579|697254
123469|102|All Other Accounts||0|0||697254
123645|101|None|0|0|0|0|697573
123646|102|All Other Accounts|0|0|0|0|697573
126798|102|All Other Accounts|1529||||711585
122159|101|Per Capita Taxes|33969||||693550
122160|102|All Other Accounts|1609||||693550
121792|101|UTU International|7701||||691754
121795|102|All Other Accounts|0||||691754
121794|101|Alaska Railroad Corporation|13747||||691754
121793|101|UTU PAC|128||||691754
124368|102|All Other Accounts|0|0|0|0|698938
130746|102|All Other Accounts|487982||||727042
121292|101|IBEW|15512||||686348
121293|102|All Other Accounts|3748||||686348
121307|102|All Other Accounts|11013||||686403
120912|101|International Longshoreman's Workers Union|10361||||684854
120913|102|All Other Accounts|8046||||684854
125603|101|ACCRUED EXPENSES-TP LOGOS LLC|995||||708230
125605|102|All Other Accounts|||||708230
125604|101|ACCRUED EXPENSES-CINTAS|28||||708230
121296|102|All Other Accounts|||||686370
121476|102|All Other Accounts|||||688141
124389|102|All Other Accounts|311||||698984
124322|101|PAYROLL AND FRINGE BENEFITS|40868||||698910
124327|102|All Other Accounts|0|0|0|0|698910
124326|101|PREPAID DUES|45146||||698910
124325|101|OFFICE EXPENSES|10678||||698910
124324|101|AFFILIATION FEES |8993||||698910
124323|101|INTERNATIONAL PER CAPITA TAXES|21622||||698910
119836|101|ACCOUNTS PAYABLE - UTILITIES, ETC.|12894|0|0|0|682547
119840|102|All Other Accounts|0|0|0|0|682547
119839|101|LABOR/MANAGEMENT AWARD PAYABLE|131000|0|0|0|682547
119838|101|UNREMITTED PAYROLL LIABILITIES|2568|0|0|0|682547
119837|101|ACCRUED EMPLOYEE PAID-TIME-OFF|9988|0|0|0|682547
123180|102|All Other Accounts|||||696569
122117|102|All Other Accounts|||||693426
120175|101|NONE ITEMIZED|0|0|0|0|683371
120176|102|All Other Accounts|0|0|0|0|683371
122298|102|All Other Accounts|73295||||694082
119789|101|HOLIDAY AMUSEMENT PARK WORLD|21940||||682156
119790|102|All Other Accounts|1022|0|0|0|682156
121446|102|All Other Accounts|0|0|0|0|687640
121670|102|All Other Accounts|||||691025
121397|102|All Other Accounts|0|0|0|0|686714
123660|102|All Other Accounts|5867||||697626
121264|101|VARIOUS|36994|0|0|0|686305
121265|102|All Other Accounts|0|0|0|0|686305
119973|102|All Other Accounts|116607||||682905
124691|102|All Other Accounts||||158220|699345
124857|102|All Other Accounts|||||699923
122161|102|All Other Accounts|||||693557
124885|102|All Other Accounts|4952|0|0|0|700091
122861|102|All Other Accounts|70256||||695844
124924|101|Per Capita Taxes|18027||||700297
124925|102|All Other Accounts|966||||700297
125040|102|All Other Accounts|20459||||700831
121355|102|All Other Accounts|5126||||686506
121039|102|All Other Accounts|17001638|8945|2935|0|685520
121502|102|All Other Accounts|0|0|0|0|688535
122819|102|All Other Accounts|0|0|0|0|695711
120816|102|All Other Accounts|878285|0|0|0|684209
125520|101|Unite Here International Union|90385|0|0|0|707693
125521|102|All Other Accounts|0|0|0|0|707693
121133|102|All Other Accounts|0|0|0|0|685749
127613|101|Atlantic Electric accr'l|2870||||717224
127621|102|All Other Accounts|||||717224
127620|101|Other A/P Accrl's|83678||||717224
127619|101|Staff (Vacation accrl's)|70787|35375|35412||717224
127618|101|Payroll (YE accrl's)|78552||||717224
127617|101|Legal Accruals|96193|20206|75987||717224
127616|101|Staff (Benefit accrl's)|64804||||717224
127615|101|Bankcard Services|3750||||717224
127614|101|Verizon (phone util. accr'l)|1359||||717224
123041|101|Accounts Payable|97974|97974|0|0|696231
123042|102|All Other Accounts|0|0|0|0|696231
124116|102|All Other Accounts|7455|0|0|0|698674
121730|102|All Other Accounts|0|0|0|0|691393
121923|102|All Other Accounts|||||692521
120352|102|All Other Accounts|14917|0|0|0|683583
121714|102|All Other Accounts|||||691252
122892|101|ILLINOIS WITHHOLDING|568|0|0|0|695917
122897|102|All Other Accounts|0|0|0|0|695917
122896|101|US POSTAL SERVICE|1320|0|0|0|695917
122895|101|CHAMPION ENERGY|424|0|0|0|695917
122894|101|US TREASURY|4993|0|0|0|695917
122893|101|CREDIT CARD|20823|0|0|0|695917
124834|102|All Other Accounts|639||||699755
121501|102|All Other Accounts|0|0|0|0|688530
123729|102|All Other Accounts|0|0|||697777
124859|102|All Other Accounts|0|0|0|0|699955
122544|102|All Other Accounts|||||694879
122522|102|All Other Accounts||||0|694783
124591|102|All Other Accounts|||||699306
122914|102|All Other Accounts|||||695961
124911|102|All Other Accounts|||||700190
121799|102|All Other Accounts|349||||691862
125030|102|All Other Accounts|0|0|0|0|700708
122230|102|All Other Accounts|||||693834
122022|102|All Other Accounts|||||692859
122671|102|All Other Accounts|0|0|||695289
122650|102|All Other Accounts|||||695234
123717|102|All Other Accounts|8035|0|0|0|697741
125660|102|All Other Accounts|||||708570
119487|101|NONE|0|0|0|0|679684
119488|102|All Other Accounts|0|0|0|0|679684
122540|101|NONE|0|0|0|0|694863
122541|102|All Other Accounts|||||694863
121852|102|All Other Accounts|||||692107
123987|102|All Other Accounts|4189||4189||698430
122745|102|All Other Accounts|2709|||2709|695489
123376|102|All Other Accounts|8048|0|0|8048|696965
124699|102|All Other Accounts|5896|0|0|0|699416
122093|102|All Other Accounts|||||693349
123365|102|All Other Accounts|||||696943
124170|102|All Other Accounts||||0|698743
122757|101|PAYROLL TAXES PAYABLE|9926||||695534
122758|102|All Other Accounts|||||695534
119455|101|CREDIT CARDS|1802||||679463
119456|102|All Other Accounts|||||679463
122269|102|All Other Accounts|||||693991
119987|102|All Other Accounts|||||682936
124759|102|All Other Accounts|||||699588
124094|102|All Other Accounts|||||698652
119729|102|All Other Accounts|||||681775
123449|102|All Other Accounts|||||697223
122264|102|All Other Accounts|0|0|0|0|693936
124743|102|All Other Accounts|300||||699547
122046|102|All Other Accounts|||||693143
121709|102|All Other Accounts|||||691221
121896|102|All Other Accounts|||||692427
122237|102|All Other Accounts|3371||||693853
123683|101|N/A|0|0|0|0|697665
123684|102|All Other Accounts|0|0|0|0|697665
123751|101|AMEX Credit Card|2187||||697815
123752|102|All Other Accounts|||||697815
122545|102|All Other Accounts|||||694885
122070|102|All Other Accounts|||||693233
125101|102|All Other Accounts|766|0|0|0|701636
123241|102|All Other Accounts|0|0|0|0|696703
123255|101|US TREASURY FORM 941|5918||||696736
123261|102|All Other Accounts|||||696736
123260|101|US TREASURY FORM 940|151||||696736
123259|101|JP HARRIS|28||||696736
123258|101|WESTAB|1076||||696736
123257|101|PUC FUND|307||||696736
123256|101|PA DEPT OF REVENUE|727||||696736
124427|102|All Other Accounts|||||699056
122172|101|None|0|0|0|0|693628
122173|102|All Other Accounts|||||693628
121789|102|All Other Accounts|4064||||691725
123753|102|All Other Accounts|0|0|0|0|697819
125564|102|All Other Accounts|8320|0|0|0|708041
122252|101|N/A|0|0|0|0|693925
122253|102|All Other Accounts|||||693925
131301|102|All Other Accounts|||||730247
121430|102|All Other Accounts|0|0|0|0|687481
122457|102|All Other Accounts|0|0|0|0|694524
